ID,구분(Category),대리점명(Name),뱃지(Badge),지역(Region),주소(Address),전화번호(Phone),설명(Description),아이디(Username),위도(Latitude),경도(Longitude),홈페이지(Homepage),등록일시(Created At),수정일시(Updated At)
1,Alpine Sound Master,가인 오디오,알파인사운드마스터,"경기중앙(성남,안양,용인,과천)",경기도 안양시 만안구 안양로 21,010-8545-5311,F#1 Status 및 알파인 모든 사운드 시스템을 취급합니다.,gain,37.3887,126.9238,https://blog.naver.com/gaincaraudio,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
2,Team Alpine,개구리 카오디오,Team Alpine,"경기중앙(성남,안양,용인,과천)",경기도 성남시 분당구 대왕판교로 255,010-5283-6277,F#1 Status 및 알파인 모든 사운드 시스템을 취급합니다.,Frog,35.1796,129.0756,https://blog.naver.com/gaegoory,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
3,Helix/Match 취급점,카오디오팩토리,Team Alpine · Helix/Match 취급,"경기남부(수원,화성,평택,안성)",경기도 화성시 동탄구 여울로4길 15 1층,010-6580-1975,알파인 모든 사운드 시스템을 취급합니다.,caraudiofactory,35.8714,128.6014,https://blog.naver.com/cutty0016,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
4,Team Alpine,럭셔리 카클럽,Team Alpine,"경기북부(고양,파주,의정부,양주)",경기도 양주시 부흥로 1324,010-9956-3618,F#1 Status 및 알파인 모든 사운드 시스템을 취급합니다.,luxury,37.4563,126.7052,https://blog.naver.com/miini1021,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
5,Team Alpine,오토갤러리,Team Alpine,서울,서울특별시 송파구 새말로 176 트윈팰리스101동 102호,010-5220-8034,알파인 모든 사운드 시스템을 취급합니다.,autogallery,35.1595,126.8526,https://blog.naver.com/matthew1204,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
6,Team Alpine,카투오디오,Team Alpine,"경기중앙(성남,안양,용인,과천)",경기도 성남시 중원구 둔촌대로64번길 4-16(101호),010-3597-1735,F#1 Status 및 알파인 모든 사운드 시스템을 취급합니다.,catooaudio,36.3504,127.3845,https://blog.naver.com/cshkkn,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770248942602,Team Alpine,썬카팩토리,Team Alpine,인천,인천광역시 서구 봉수대로 166 2동 101호,010-9773-9882,알파인 모든 사운드 시스템을 취급합니다.,suncarfactory,,,https://blog.naver.com/rohst731,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770249019903,Helix/Match 취급점,사운드테크닉,Team Alpine · Helix/Match 취급,"경기서부(김포,부천,광명,안산)",경기도 광명시 금오로 745,010-4764-7777,알파인 모든 사운드 시스템을 취급합니다.,soundtechnic,,,https://blog.naver.com/daesung76,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770249089862,Team Alpine,광주카오디오,Team Alpine,광주,광주광역시 남구 독립로 163,010-3627-9072,알파인 모든 사운드 시스템을 취급합니다.,gwangju,,,https://blog.naver.com/ysoung78,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770249157344,Team Alpine,사운드째즈,Team Alpine,제주,제주특별자치도 제주시 연삼로 124,010-3693-9499,알파인 모든 사운드 시스템을 취급합니다.,soundjazz,,,https://blog.naver.com/shinjee2000,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
